product_name,gds_lclsf_cd,gds_lclsf_nm,gds_mclsf_cd,gds_mclsf_nm,gds_sclsf_cd,gds_sclsf_nm,match_keyword,match_note
토마토,08,과일과채류,03,토마토,01,토마토(일반),토마토,
망고,06,과실류,36,망고,01,망고(일반),망고,
오이,09,과채류,01,오이,00,오이(일반),오이,
체리,06,과실류,57,체리,01,체리(일반),체리,
감자,05,서류,01,감자,00,감자(일반),감자,
암꽃게,63,활 해면갑각류,02,게,06,암꽃게,암꽃게,
병아리콩,03,두류,10,병아리콩,01,병아리콩(일반),병아리콩,
복숭아,06,과실류,04,복숭아,00,복숭아(일반),복숭아,
갑오징어,64,활 해면연체류,01,갑오징어,98,갑오징어(수입),갑오징어,
오렌지,06,과실류,18,오렌지,00,오렌지(일반),오렌지,
냉동블루베리,06,과실류,59,블루베리,01,블루베리(일반),블루베리,
당근,11,근채류,03,당근,01,당근(일반),당근,
산딸기,08,과일과채류,04,딸기,09,산딸기,산딸기,
전복,89,건제품,40,전복,01,전복(일반),전복,
고구마,05,서류,02,고구마,00,고구마(일반),고구마,
양파,12,조미채소류,01,양파,01,양파(일반),양파,
장어,61,활 해면어류,59,장어,98,장어(수입),장어,
삼겹살,43,국내산육류,04,돈육,27,삼겹살,삼겹살,
참기름,91,농림가공,05,유지,01,참기름,참기름,
자두,06,과실류,08,자두,00,자두,자두,
누룽지,91,농림가공,10,기타식품,19,누룽지,누룽지,
호두,07,수실류,04,호두,01,호두(일반),호두,
열무김치,91,농림가공,04,절임식품,08,열무김치,열무김치,
문어,64,활 해면연체류,04,문어,98,문어(수입),문어,
대게,63,활 해면갑각류,02,게,01,대게,대게,
옥수수,04,잡곡류,01,옥수수,00,옥수수(일반),옥수수,
쌀,01,미곡류,03,쌀,14,쌀(쇄미),쌀,
오징어,89,건제품,22,오징어,01,오징어(일반),오징어,
가리비,62,활 해면패류,01,가리비,01,가리비,가리비,
미숫가루,91,농림가공,06,전분 및 사료제조,15,미숫가루,미숫가루,
홍어,61,활 해면어류,72,홍어,98,홍어(수입),홍어,
멜론,08,과일과채류,05,멜론,00,멜론(일반),멜론,
새우젓,93,수산가공,03,젓갈,49,새우젓,새우젓,
들기름,91,농림가공,05,유지,02,들기름,들기름,
방울토마토,08,과일과채류,06,방울토마토,01,방울토마토(일반),방울토마토,
바지락,89,건제품,37,바지락,01,바지락(일반),바지락,
햇감자,05,서류,01,감자,00,감자(일반),감자,
꿀,47,기타동물생산물,03,꿀벌,98,꿀(수입),꿀,
죽순,14,산채류,04,죽순,01,죽순(일반),죽순,
딸기,08,과일과채류,04,딸기,00,딸기(일반),딸기,
햇마늘,12,조미채소류,09,마늘,98,마늘(수입),마늘,
고등어,89,건제품,35,고등어,01,고등어(일반),고등어,
메밀국수,91,농림가공,07,곡물제조,36,메밀국수,메밀국수,
새조개,62,활 해면패류,10,조개,07,새조개,새조개,
아보카도,06,과실류,34,아보카도,01,아보카도(일반),아보카도,
쌀20kg,01,미곡류,03,쌀,14,쌀(쇄미),쌀,
쌀10kg,01,미곡류,03,쌀,14,쌀(쇄미),쌀,
참외,08,과일과채류,02,참외,00,참외(일반),참외,
마늘쫑,12,조미채소류,09,마늘,07,마늘쫑,마늘쫑,
꽃게,93,수산가공,02,조미가공,08,꽃게,꽃게,
매실,06,과실류,25,매실,01,매실(일반),매실,
계란,47,기타동물생산물,02,조란,10,계란,계란,
수박,08,과일과채류,01,수박,01,수박(일반),수박,
사과,06,과실류,01,사과,00,사과,사과,
블루베리,06,과실류,59,블루베리,01,블루베리(일반),블루베리,
참외10kg,08,과일과채류,02,참외,00,참외(일반),참외,
